ANO_ELEICAO;NR_TURNO;DS_ELEICAO;DT_ELEICAO;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;QT_VOTOS_NOMINAIS_VALIDOS
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;2;6;Deputado Federal;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);48
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;159;JARU;10;6;Deputado Federal;Partido isolado;90;PROS;Partido Republicano da Ordem Social;PARTIDO ISOLADO;PROS;18
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;230;COLORADO DO OESTE;8;5;Senador;Partido isolado;35;PMB;Partido da Mulher Brasileira;PARTIDO ISOLADO;PMB;13
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;418;SÃO MIGUEL DO GUAPORÉ;35;7;Deputado Estadual;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;490
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;20;7;Deputado Estadual;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;4570
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;396;MACHADINHO D OESTE;32;7;Deputado Estadual;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;1951
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;20;3;Governador;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);645
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;736;ALTO ALEGRE DOS PARECIS;19;3;Governador;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);9
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;6;Deputado Federal;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;103
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;353;SANTA LUZIA D OESTE;19;6;Deputado Federal;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;213
